id,semantic,tags,category,description
2000mlb-00mlb-sports-mlb-baseball-logo,2000mlb-00mlb-sports-mlb-baseball-logo,"00mlb,sports,logo,mlb,2000mlb,baseball",emoji,2000Mlb 00Mlb Sports Mlb Baseball Logo icon
2000mlb-anaheim-sports-mlb-baseball-logo,2000mlb-anaheim-sports-mlb-baseball-logo,"sports,anaheim,logo,mlb,2000mlb,baseball",emoji,2000Mlb Anaheim Sports Mlb Baseball Logo icon
2000mlb-arizona-sports-mlb-baseball-logo,2000mlb-arizona-sports-mlb-baseball-logo,"sports,logo,mlb,arizona,2000mlb,baseball",emoji,2000Mlb Arizona Sports Mlb Baseball Logo icon
2000mlb-atlanta-sports-mlb-baseball-logo,2000mlb-atlanta-sports-mlb-baseball-logo,"sports,atlanta,mlb,logo,2000mlb,baseball",emoji,2000Mlb Atlanta Sports Mlb Baseball Logo icon
2000mlb-baltimore-sports-mlb-baseball-logo,2000mlb-baltimore-sports-mlb-baseball-logo,"sports,baltimore,logo,mlb,2000mlb,baseball",emoji,2000Mlb Baltimore Sports Mlb Baseball Logo icon
2000mlb-boston-sports-mlb-baseball-logo,2000mlb-boston-sports-mlb-baseball-logo,"sports,logo,mlb,boston,2000mlb,baseball",emoji,2000Mlb Boston Sports Mlb Baseball Logo icon
2000mlb-chi-cubs-sports-mlb-baseball-logo,2000mlb-chi-cubs-sports-mlb-baseball-logo,"sports,cubs,logo,mlb,chi,baseball",emoji,2000Mlb Chi Cubs Sports Mlb Baseball Logo icon
2000mlb-chi-white-sox-sports-mlb-baseball-logo,2000mlb-chi-white-sox-sports-mlb-baseball-logo,"sports,sox,white,logo,mlb,baseball",emoji,2000Mlb Chi White Sox Sports Mlb Baseball Logo icon
2000mlb-cincinnati-sports-mlb-baseball-logo,2000mlb-cincinnati-sports-mlb-baseball-logo,"sports,cincinnati,logo,mlb,2000mlb,baseball",emoji,2000Mlb Cincinnati Sports Mlb Baseball Logo icon
2000mlb-cleveland-sports-mlb-baseball-logo,2000mlb-cleveland-sports-mlb-baseball-logo,"sports,logo,mlb,cleveland,2000mlb,baseball",emoji,2000Mlb Cleveland Sports Mlb Baseball Logo icon
