id,semantic,tags,category,description
sound-on-blue-button-icon-2-sound-bars-white-sound-speaker,sound-on-blue-button-icon-2-sound-bars-white-sound-speaker,"blue,2,icon,white,speaker",ui,Sound On Blue Button Icon 2 Sound Bars White Sound Speaker icon
sprite-sheet-2,sprite-sheet-2,"sprite,sheet,2",ui,Sprite Sheet 2 icon
sprite-sheet,sprite-sheet,"sprite,sheet",ui,Sprite Sheet icon
star_award_icon,star-award-icon,"award,icon,star",ui,Star Award Icon icon
star_icon_smoot,star-icon-smoot,"smoot,icon,star",ui,Star Icon Smoot icon
submit-send-enter-go-push-commit-form,submit-send-enter-go-push-commit-form,"form,push,go,send,commit",ui,Submit Send Enter Go Push Commit Form icon
sword-attack-offensive-weapon-code-tool-coding-cut-stab-surgical-removal,sword-attack-offensive-weapon-code-tool-coding-cut-stab-surgical-removal,"offensive,sword,coding,cut,surgical",tools,Sword Attack Offensive Weapon Code Tool Coding Cut Stab Surgical Removal icon
treasure-chest-with-gems-inside-showing-award-well-done-good-job,treasure-chest-with-gems-inside-showing-award-well-done-good-job,"treasure,chest,gems,inside,good",ui,Treasure Chest With Gems Inside Showing Award Well Done Good Job icon
two-tone-blue-background-back-button-left-facing-arrow-go-back-undo-step-step-backwards,two-tone-blue-background-back-button-left-facing-arrow-go-back-undo-step-step-backwards,"backwards,blue,back,go,undo",ui,Two Tone Blue Background Back Button Left Facing Arrow Go Back Undo Step Step Backwards icon
warning_icon_it,warning-icon-it,"it,icon,warning",ui,Warning Icon It icon
