id,name,concept,score,use_case
folder-48x48,folder-48x48,folder,0.90,"File organization, directory structures, content grouping"
filter-24x24,filter-24x24,search,0.90,"Finding records, discovering content, query interfaces"
user-48x48,user-48x48,user,0.90,"Profile management, account settings, member directories"
user-group-24x24,user-group-24x24,user,0.85,"Profile management, account settings, member directories"
email-32x32,email-32x32,email,0.90,"Communication modules, contact forms, notification systems"
pdf-32x32,pdf-32x32,document,0.90,"File management, text editing, report generation"
open-file-48x48,open-file-48x48,document,0.90,"File management, text editing, report generation"
save-file-48x48,save-file-48x48,document,0.90,"File management, text editing, report generation"
closed-folder-24x24,closed-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
add-folder-32x32,add-folder-32x32,folder,0.90,"File organization, directory structures, content grouping"
downloads-folder-24x24,downloads-folder-24x24,folder,0.90,"File organization, directory structures, content grouping"
music-folder-48x48,music-folder-48x48,folder,0.90,"File organization, directory structures, content grouping"
pictures-folder-48x48,pictures-folder-48x48,folder,0.90,"File organization, directory structures, content grouping"
movies-folder-48x48,movies-folder-48x48,folder,0.90,"File organization, directory structures, content grouping"
console-48x48,console-48x48,terminal,0.90,"Developer tools, CLI commands, system logs"
settings-32x32,settings-32x32,gear,0.90,"User preferences, system configuration, engine settings"
protection-48x48,protection-48x48,shield,0.90,"Data protection, system firewalls, safety verification"
camera-camera-capture-32x32,camera-camera-capture-32x32,camera,0.90,"Multimedia capture, image uploads, visual content"
print-32x32,print-32x32,document,0.90,"File management, text editing, report generation"
Printer,printer,document,0.90,"File management, text editing, report generation"
blueprint2,blueprint2,document,0.90,"File management, text editing, report generation"
blueprint3,blueprint3,document,0.90,"File management, text editing, report generation"
blueprint4,blueprint4,document,0.90,"File management, text editing, report generation"
blueprint5,blueprint5,document,0.90,"File management, text editing, report generation"
blueprint,blueprint,document,0.90,"File management, text editing, report generation"
Card file,card-file,document,0.90,"File management, text editing, report generation"
Close file,close-file,document,0.90,"File management, text editing, report generation"
Close folder,close-folder,folder,0.90,"File organization, directory structures, content grouping"
Color profile,color-profile,document,0.90,"File management, text editing, report generation"
Alarm,alarm,warning,0.90,"Error prevention, data loss risks, attention-required states"
Application form,application-form,document,0.90,"File management, text editing, report generation"
camera-camera-capture-variant2,camera-camera-capture-variant2,camera,0.90,"Multimedia capture, image uploads, visual content"
File exetension,file-exetension,document,0.90,"File management, text editing, report generation"
Folder docs,folder-docs,folder,0.90,"File organization, directory structures, content grouping"
Folder downloads,folder-downloads,folder,0.90,"File organization, directory structures, content grouping"
Folder user,folder-user,user,0.90,"Profile management, account settings, member directories"
Folder web,folder-web,folder,0.90,"File organization, directory structures, content grouping"
Graphic file,graphic-file,document,0.90,"File management, text editing, report generation"
HR-Blank-Folder-Dock-512,hr-blank-folder-dock-512,folder,0.90,"File organization, directory structures, content grouping"
HR-Documents-Folder-Dock-512,hr-documents-folder-dock-512,folder,0.90,"File organization, directory structures, content grouping"
New file,new-file,document,0.90,"File management, text editing, report generation"
