id,name,concept,score,metaphor,confidence,alignment
add_to_basket_24x24,add-to-basket-24x24,add,0.90,creation,0.6,0.00
camera-camera-capture-24x24,camera-camera-capture-24x24,camera,0.90,capture,0.64,0.17
camera-camera-capture-32x32,camera-camera-capture-32x32,camera,0.90,capture,0.64,0.17
card_file_24x24,card-file-24x24,document,0.90,information,0.64,0.17
closed_folder_24x24,closed-folder-24x24,folder,0.90,organization,0.64,0.14
Close_file_32x32,close-file-32x32,document,0.90,information,0.64,0.17
Close_folder_32x32,close-folder-32x32,folder,0.90,organization,0.64,0.14
Color_profile_32x32,color-profile-32x32,document,0.90,information,0.6,0.00
Database_16x16,database-16x16,database,0.90,storage,0.68,0.33
database_24x24,database-24x24,database,0.90,storage,0.68,0.33
delete_24x24,delete-24x24,trash,0.90,disposal,0.73,0.50
Delete_32x32,delete-32x32,trash,0.90,disposal,0.73,0.50
Delete_event_48x48,delete-event-48x48,trash,0.90,disposal,0.71,0.43
Delete_frame_32x32,delete-frame-32x32,trash,0.90,disposal,0.71,0.43
Delete_frames_32x32,delete-frames-32x32,trash,0.90,disposal,0.71,0.43
document_24x24,document-24x24,document,0.90,information,0.68,0.33
Downloads_folder_16x16,downloads-folder-16x16,folder,0.90,organization,0.62,0.09
downloads_folder_24x24,downloads-folder-24x24,folder,0.90,organization,0.62,0.09
edit_32x32,edit-32x32,edit,0.90,modification,0.6,0.00
Edit_32x32,edit-32x32,edit,0.90,modification,0.6,0.00
Edit_page_32x32,edit-page-32x32,edit,0.90,modification,0.6,0.00
Edit_text_32x32,edit-text-32x32,edit,0.90,modification,0.6,0.00
error_24x24,error-24x24,error,0.90,failure,0.6,0.00
Error_32x32,error-32x32,error,0.90,failure,0.6,0.00
File_exetension_32x32,file-exetension-32x32,document,0.90,information,0.64,0.17
folder_24x24,folder-24x24,folder,0.90,organization,0.64,0.17
Folder_32x32,folder-32x32,folder,0.90,organization,0.64,0.17
