id,semantic,tags,category,description
Dark-application-exit,dark-application-exit,"dark,exit,application",ui,Dark Application Exit icon
Dark-applications-internet,dark-applications-internet,"dark,applications,internet",network,Dark Applications Internet icon
Dark-application-x-executable,dark-application-x-executable,"dark,executable,x,application",ui,Dark Application X Executable icon
Dark-computer,dark-computer,"dark,computer",ui,Dark Computer icon
Dark-dialog-question,dark-dialog-question,"dark,dialog,question",ui,Dark Dialog Question icon
Dark-document-open,dark-document-open,"dark,open,document",files,Dark Document Open icon
Dark-document-page-setup,dark-document-page-setup,"dark,document,page,setup",files,Dark Document Page Setup icon
Dark-document-properties,dark-document-properties,"dark,document,properties",files,Dark Document Properties icon
Dark-drive-harddisk,dark-drive-harddisk,"dark,harddisk,drive",ui,Dark Drive Harddisk icon
Dark-drive-optical,dark-drive-optical,"dark,optical,drive",ui,Dark Drive Optical icon
Dark-drive-removable-media,dark-drive-removable-media,"dark,media,removable,drive",ui,Dark Drive Removable Media icon
Dark-edit-delete,dark-edit-delete,"dark,delete,edit",ui,Dark Edit Delete icon
Dark-edit-find,dark-edit-find,"dark,find,edit",ui,Dark Edit Find icon
Dark-emblems-documents,dark-emblems-documents,"dark,emblems,documents",files,Dark Emblems Documents icon
Dark-emblem-shared,dark-emblem-shared,"dark,emblem,shared",ui,Dark Emblem Shared icon
Dark-emblem-symbolic-link,dark-emblem-symbolic-link,"dark,emblem,link,symbolic",ui,Dark Emblem Symbolic Link icon
Dark-emblem-web,dark-emblem-web,"dark,web,emblem",network,Dark Emblem Web icon
Dark-folder-drag-accept,dark-folder-drag-accept,"dark,accept,drag,folder",files,Dark Folder Drag Accept icon
Dark-folder-open,dark-folder-open,"dark,open,folder",files,Dark Folder Open icon
Dark-folder,dark-folder,"dark,folder",files,Dark Folder icon
Dark-folder-remote,dark-folder-remote,"dark,remote,folder",files,Dark Folder Remote icon
Dark-help-about,dark-help-about,"dark,help,about",ui,Dark Help About icon
Dark-help-browser,dark-help-browser,"dark,browser,help",ui,Dark Help Browser icon
